"album"|"album_url"
"Collective Demise"|"https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/8a/6a/c5/8a6ac5ca-d496-6c63-c661-2f8a37137ea2/source/512x512.jpg"
"Necessary Evil"|"https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/a6/ac/94/a6ac9458-7c2c-7dab-7ab1-464f6020c483/source/512x512.jpg"
"Head On (Bonus Tracks Edition)"|"https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/09/b6/db/09b6db4e-f4d5-d439-90df-d4af04807cd1/source/512x512.jpg"
"Don't Get Mad, Get Even"|"https://is4-ssl.mzstatic.com/image/thumb/Music42/v4/51/82/04/51820474-a2d1-f7f2-2f46-31dacb758a2a/source/512x512.jpg"
"Survivors (Bonus Track Edition)"|"https://is4-ssl.mzstatic.com/image/thumb/Music60/v4/8f/78/a9/8f78a935-ace5-bfa0-df4d-6fe39f4961ab/source/512x512.jpg"
"Shock Tactics (Bonus Track Edition)"|"https://is4-ssl.mzstatic.com/image/thumb/Music62/v4/0f/63/b2/0f63b20e-060e-c4cc-6b07-54436aaaf785/source/512x512.jpg"
"Privaci¢n Ileg¡tima de la Libertad"|"https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/f3/a1/22/f3a12212-b84d-8ef5-6356-587323b1c82e/source/512x512.jpg"
"Legiones"|"https://is1-ssl.mzstatic.com/image/thumb/Music19/v4/49/65/b6/4965b679-8962-9cee-8dd9-63fb5be05a01/source/512x512.jpg"
"Ley Siniestra"|"https://is2-ssl.mzstatic.com/image/thumb/Music111/v4/0f/65/dd/0f65dd8c-fb4e-0f3e-d800-1884364e9133/source/512x512.jpg"
"Final Sangriento"|"https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/0c/53/bd/0c53bd8f-c216-38b5-03e5-e2a1982194bf/source/512x512.jpg"
"The Clans Have United"|"https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/90/a6/14/90a6144d-6ceb-8d2d-0286-e829ee2f8845/source/512x512.jpg"
"Gathering the Clans"|"https://is4-ssl.mzstatic.com/image/thumb/Music111/v4/f8/8a/40/f88a4037-b22b-cf5e-5325-b1f671162e48/source/512x512.jpg"
"Beheading the Liars"|"https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/c1/ba/77/c1ba77b4-6b4a-5595-5573-80d3444593d1/source/512x512.jpg"
